name,id,status,total,free,tendence,lat,lng,collected_at
BODONI,2,1,460,258,1,45.063553,7.683574,2026-09-15 22:25:33.688586
BOLZANO,3,1,858,398,1,45.072478,7.667162,2026-09-15 22:25:33.688586
D'AZEGLIO GALILEI,4,1,223,149,-1,45.042894,7.677542,2026-09-15 22:25:33.688586
EMANUELE FILIBERTO,5,1,110,28,1,45.076661393,7.68030909027,2026-09-15 22:25:33.688586
GALILEO FERRARIS,6,1,276,213,1,45.067451,7.672192,2026-09-15 22:25:33.688586
LINGOTTO,7,1,3100,2959,1,45.031625,7.662682,2026-09-15 22:25:33.688586
MADAMA CRISTINA,8,1,259,156,1,45.058585,7.683419,2026-09-15 22:25:33.688586
NIZZA,9,1,371,317,1,45.040852,7.668902,2026-09-15 22:25:33.688586
PALAGIUSTIZIA,10,1,616,526,1,45.069353,7.661091,2026-09-15 22:25:33.688586
PORTA PALAZZO,11,1,653,473,1,45.07646,7.686467,2026-09-15 22:25:33.688586
SANTO STEFANO,12,1,344,156,-1,45.073845,7.68372,2026-09-15 22:25:33.688586
RE UMBERTO,13,1,125,86,1,45.067,7.67583,2026-09-15 22:25:33.688586
ROMA S.CARLO CASTELLO,14,1,786,606,-1,45.063992,7.680366,2026-09-15 22:25:33.688586
VENTIMIGLIA,15,1,303,262,1,45.033647,7.672969,2026-09-15 22:25:33.688586
FONTANESI,16,1,358,257,1,45.070346,7.70501,2026-09-15 22:25:33.688586
RACCONIGI,17,0,100,,1,45.069825,7.646689,2026-09-15 22:25:33.688586
VALDO FUSI,18,1,457,203,-1,45.065041,7.687613,2026-09-15 22:25:33.688586
STATI UNITI,19,1,500,342,-1,45.064056,7.667003,2026-09-15 22:25:33.688586
CAIO MARIO,23,1,418,406,1,45.028627,7.640286,2026-09-15 22:25:33.688586
FERMI,24,0,300,,1,45.076464,7.591056,2026-09-15 22:25:33.688586
MOLINETTE,25,1,481,464,1,45.038575,7.675885,2026-09-15 22:25:33.688586
SOFIA,27,1,272,136,-1,45.095568,7.716923,2026-09-15 22:25:33.688586
STURA,28,1,589,124,1,45.120578,7.711557,2026-09-15 22:25:33.688586
VITTORIO,30,1,476,206,1,45.064784,7.695425,2026-09-15 22:25:33.688586
V PADIGLIONE,31,0,327,,1,45.050827,7.682977,2026-09-15 22:25:33.688586
CTO,32,1,161,146,1,45.033603,7.67349,2026-09-15 22:25:33.688586
UNIONE SOVIETICA,40,0,150,,1,45.01192,7.62291,2026-09-15 22:25:33.688586
BACIGALUPO,46,1,326,309,1,45.036604,7.672489,2026-09-15 22:25:33.688586
BIXIO,47,1,255,196,1,45.06879,7.65565,2026-09-15 22:25:33.688586
VENCHI UNICA,48,1,437,238,1,45.074104,7.615765,2026-09-15 22:25:33.688586
CAIO MARIO CAMPER,50,1,57,32,1,45.02803,7.63973,2026-09-15 22:25:33.688586
PORTA NUOVA FS,51,1,242,59,-1,45.06293,7.67776,2026-09-15 22:25:33.688586
PORTA SUSA FS,52,1,123,52,1,45.07301,7.66718,2026-09-15 22:25:33.688586
ANCONA,53,1,148,133,-1,45.07961,7.69175,2026-09-15 22:25:33.688586
PALESTRO,54,1,113,57,1,45.07339,7.67184,2026-09-15 22:25:33.688586
CERNAIA,55,1,94,81,1,45.06936,7.67348,2026-09-15 22:25:33.688586
MONTI,56,1,153,149,1,45.04709,7.68091,2026-09-15 22:25:33.688586
MERCATO CENTRALE,57,1,110,93,1,45.07768,7.68379,2026-09-15 22:25:33.688586
RICHELMY,59,1,115,67,-1,45.08301,7.65785,2026-09-15 22:25:33.688586
LANCIA,60,1,323,108,1,45.061756,7.642471,2026-09-15 22:25:33.688586
PALAZZO NUOTO,66,1,190,183,1,45.039829,7.6503,2026-09-15 22:25:33.688586
