 python -m streamlit run streamlit_app/app.pyparking_id,status,free,tendence,collected_at
2,1,258,1,2026-09-15 22:25:33.688586
3,1,398,1,2026-09-15 22:25:33.688586
4,1,149,-1,2026-09-15 22:25:33.688586
5,1,28,1,2026-09-15 22:25:33.688586
6,1,213,1,2026-09-15 22:25:33.688586
7,1,2959,1,2026-09-15 22:25:33.688586
8,1,156,1,2026-09-15 22:25:33.688586
9,1,317,1,2026-09-15 22:25:33.688586
10,1,526,1,2026-09-15 22:25:33.688586
11,1,473,1,2026-09-15 22:25:33.688586
12,1,156,-1,2026-09-15 22:25:33.688586
13,1,86,1,2026-09-15 22:25:33.688586
14,1,606,-1,2026-09-15 22:25:33.688586
15,1,262,1,2026-09-15 22:25:33.688586
16,1,257,1,2026-09-15 22:25:33.688586
17,0,,1,2026-09-15 22:25:33.688586
18,1,203,-1,2026-09-15 22:25:33.688586
19,1,342,-1,2026-09-15 22:25:33.688586
23,1,406,1,2026-09-15 22:25:33.688586
24,0,,1,2026-09-15 22:25:33.688586
25,1,464,1,2026-09-15 22:25:33.688586
27,1,136,-1,2026-09-15 22:25:33.688586
28,1,124,1,2026-09-15 22:25:33.688586
30,1,206,1,2026-09-15 22:25:33.688586
31,0,,1,2026-09-15 22:25:33.688586
32,1,146,1,2026-09-15 22:25:33.688586
40,0,,1,2026-09-15 22:25:33.688586
46,1,309,1,2026-09-15 22:25:33.688586
47,1,196,1,2026-09-15 22:25:33.688586
48,1,238,1,2026-09-15 22:25:33.688586
50,1,32,1,2026-09-15 22:25:33.688586
51,1,59,-1,2026-09-15 22:25:33.688586
52,1,52,1,2026-09-15 22:25:33.688586
53,1,133,-1,2026-09-15 22:25:33.688586
54,1,57,1,2026-09-15 22:25:33.688586
55,1,81,1,2026-09-15 22:25:33.688586
56,1,149,1,2026-09-15 22:25:33.688586
57,1,93,1,2026-09-15 22:25:33.688586
59,1,67,-1,2026-09-15 22:25:33.688586
60,1,108,1,2026-09-15 22:25:33.688586
66,1,183,1,2026-09-15 22:25:33.688586
