sensor_id,road_name,direction,lat,lng,period,flow,speed,road_id,offset,collected_at
40121,Corso Regina Margherita(TO),positive,45.096231,7.625643,5,0,0.0,40118,239,2026-09-15 22:25:33.688586
40123,Corso Regina Margherita(TO),negative,45.093256,7.63375,5,0,0.0,40118,1555,2026-09-15 22:25:33.688586
39983,Corso Allamano(TO),positive,45.0507,7.6225,5,156,50.29,39980,563,2026-09-15 22:25:33.688586
40071,Corso Moncalieri(TO),positive,45.035647,7.680685,5,0,0.0,40070,1836,2026-09-15 22:25:33.688586
40253,Strada Di Settimo(TO),positive,45.103604,7.725984,5,264,59.51,40251,511,2026-09-15 22:25:33.688586
40040,Corso Giulio Cesare(TO),positive,45.11394,7.70806,5,600,54.41,40039,639,2026-09-15 22:25:33.688586
40194,Corso Vercelli(TO),positive,45.10529,7.696277,5,456,34.4,40192,1537,2026-09-15 22:25:33.688586
40122,Corso Regina Margherita(TO),positive,45.08876,7.647085,5,348,49.05,40118,1267,2026-09-15 22:25:33.688586
40123,Corso Regina Margherita(TO),positive,45.086797,7.653109,5,228,53.29,40118,125,2026-09-15 22:25:33.688586
40022,Corso Francia(TO),positive,45.074371,7.615753,5,468,41.49,40017,96,2026-09-15 22:25:33.688586
40149,Corso Sebastopoli(TO),positive,45.049447,7.632419,5,228,28.62,40148,237,2026-09-15 22:25:33.688586
40097,Corso Orbassano(TO),positive,45.036389,7.626645,5,4656,73.78,40093,159,2026-09-15 22:25:33.688586
40098,Corso Orbassano(TO),positive,45.038504,7.630939,5,408,45.03,40093,155,2026-09-15 22:25:33.688586
40174,Corso Trieste(TO),positive,45.014188,7.669274,5,1008,60.8,40172,663,2026-09-15 22:25:33.688586
40189,Corso Unita' D'italia(TO),positive,45.01876,7.66932,5,1200,56.76,40188,160,2026-09-15 22:25:33.688586
39977,Corso Agnelli(TO),positive,45.033788,7.642453,5,312,48.07,39975,417,2026-09-15 22:25:33.688586
40041,Corso Giulio Cesare(TO),positive,45.103963,7.701279,5,1092,49.66,40039,1001,2026-09-15 22:25:33.688586
40212,Ponte Amedeo VIII(TO),positive,45.096529,7.71906,5,600,46.17,40211,410,2026-09-15 22:25:33.688586
40021,Corso Francia(TO),positive,45.074194,7.612636,5,360,55.02,40017,513,2026-09-15 22:25:33.688586
40182,Corso Unione Sovietica(TO),positive,45.022222,7.634876,5,252,27.68,40180,1261,2026-09-15 22:25:33.688586
40095,Corso Orbassano(TO),positive,45.031137,7.612029,5,792,61.51,40093,506,2026-09-15 22:25:33.688586
2375,R24 Raccordo Torino-Aeroporto Caselle,negative,45.108011,7.694854,5,744,82.75,223,2066,2026-09-15 22:25:33.688586
40191,Corso Unita' D'italia(TO),negative,45.025896,7.671445,5,1572,55.82,40188,1200,2026-09-15 22:25:33.688586
40189,Corso Unita' D'italia(TO),positive,45.02586,7.671667,5,1488,58.0,40188,970,2026-09-15 22:25:33.688586
3728,SS10 Padana Inferiore,negative,44.92167,8.5656,5,192,66.0,296,1580,2026-09-15 22:25:33.688586
3727,SS10 Padana Inferiore,positive,44.921633,8.565183,5,96,61.38,296,5130,2026-09-15 22:25:33.688586
3736,SS10 Padana Inferiore,positive,44.92541,8.89524,5,108,74.53,296,5160,2026-09-15 22:25:33.688586
3737,SS10 Padana Inferiore,negative,44.92541,8.89524,5,72,63.0,296,3550,2026-09-15 22:25:33.688586
5057,SS30 Di Val Bormida,positive,44.86458,8.5672,5,0,0.0,346,7690,2026-09-15 22:25:33.688586
5058,SS30 Di Val Bormida,negative,44.86458,8.5672,5,0,0.0,346,130,2026-09-15 22:25:33.688586
5080,SS31 Del Monferrato,positive,44.92719,8.58575,5,72,51.0,347,1010,2026-09-15 22:25:33.688586
5081,SS31 Del Monferrato,negative,44.92719,8.58575,5,0,0.0,347,480,2026-09-15 22:25:33.688586
3234,SS35 Bis Dei Giovi,positive,44.77595,8.79817,5,132,68.0,354,3100,2026-09-15 22:25:33.688586
5235,SS35 Bis Dei Giovi,negative,44.77595,8.79817,5,108,83.0,355,1460,2026-09-15 22:25:33.688586
11787,SS494 Vigevanese,positive,44.99752,8.63915,5,0,0.0,923,2920,2026-09-15 22:25:33.688586
11788,SS494 Vigevanese,negative,44.99752,8.63915,5,0,0.0,923,10400,2026-09-15 22:25:33.688586
14790,SP155(AL),negative,44.673,8.66746,5,0,0.0,14787,2300,2026-09-15 22:25:33.688586
14789,SP155(AL),positive,44.673,8.66746,5,0,0.0,14787,530,2026-09-15 22:25:33.688586
11420,SS458 Di Casalborgone,positive,44.95677,8.14151,5,36,58.0,885,2180,2026-09-15 22:25:33.688586
11421,SS458 Di Casalborgone,negative,44.95677,8.14151,5,0,0.0,885,1060,2026-09-15 22:25:33.688586
11404,SS457 Di Moncalvo,positive,45.06662,8.28477,5,72,81.0,884,1750,2026-09-15 22:25:33.688586
11405,SS457 Di Moncalvo,negative,45.06662,8.28477,5,12,77.0,884,3230,2026-09-15 22:25:33.688586
11369,SS456 Del Turchino,positive,44.82497,8.217,5,156,71.0,883,2570,2026-09-15 22:25:33.688586
11370,SS456 Del Turchino,negative,44.82497,8.217,5,96,65.0,883,740,2026-09-15 22:25:33.688586
3717,SS10 Padana Inferiore,positive,44.93965,7.93916,5,204,68.0,296,660,2026-09-15 22:25:33.688586
3718,SS10 Padana Inferiore,negative,44.93965,7.93916,5,96,69.0,296,8570,2026-09-15 22:25:33.688586
7925,SS142 Biellese,positive,45.57417,8.25216,5,120,64.0,525,2500,2026-09-15 22:25:33.688586
7926,SS142 Biellese,negative,45.57417,8.25216,5,60,47.0,525,4300,2026-09-15 22:25:33.688586
7942,SS143 Vercellese,positive,45.45714,8.1073,5,60,76.0,526,1540,2026-09-15 22:25:33.688586
7943,SS143 Vercellese,negative,45.45714,8.1073,5,156,86.0,526,1390,2026-09-15 22:25:33.688586
12292,SS564 Monregalese,negative,44.40704,7.77654,5,60,72.0,989,4820,2026-09-15 22:25:33.688586
12291,SS564 Monregalese,positive,44.40704,7.77654,5,156,86.0,990,2090,2026-09-15 22:25:33.688586
13065,SS661 Delle Langhe,positive,44.81005,7.7627,5,96,64.0,1096,1250,2026-09-15 22:25:33.688586
13066,SS661 Delle Langhe,negative,44.81005,7.7627,5,60,81.0,1096,4680,2026-09-15 22:25:33.688586
13077,SS662 Di Savigliano,positive,44.64808,7.59853,5,144,68.0,1097,4960,2026-09-15 22:25:33.688586
13078,SS662 Di Savigliano,negative,44.64808,7.59853,5,96,83.0,1097,8200,2026-09-15 22:25:33.688586
5034,SS29 Del Colle Di Cadibona,positive,44.67126,8.04099,5,132,49.0,344,4200,2026-09-15 22:25:33.688586
5035,SS29 Del Colle Di Cadibona,negative,44.67126,8.04099,5,168,48.0,344,2180,2026-09-15 22:25:33.688586
13076,SS662 Di Savigliano,positive,44.65592,7.71134,5,180,81.2,1097,2260,2026-09-15 22:25:33.688586
13077,SS662 Di Savigliano,negative,44.65592,7.71134,5,24,92.0,1097,5150,2026-09-15 22:25:33.688586
4832,SS22 Di Val Macra,positive,44.39493,7.53006,5,132,60.68,334,740,2026-09-15 22:25:33.688586
4833,SS22 Di Val Macra,negative,44.39493,7.53006,5,252,60.18,334,9050,2026-09-15 22:25:33.688586
4963,SS28 Del Colle Di Nava,positive,44.57956,7.67659,5,108,82.0,341,1100,2026-09-15 22:25:33.688586
4964,SS28 Del Colle Di Nava,negative,44.57956,7.67659,5,72,75.0,341,4000,2026-09-15 22:25:33.688586
27774,SP4(NO) Ovest Ticino,positive,45.44373,8.73117,5,252,66.0,27771,2120,2026-09-15 22:25:33.688586
27775,SP4(NO) Ovest Ticino,negative,45.44373,8.73117,5,48,71.0,27771,2560,2026-09-15 22:25:33.688586
3845,SS11 Padana Superiore,positive,45.40573,8.55355,5,24,83.0,297,1720,2026-09-15 22:25:33.688586
3846,SS11 Padana Superiore,negative,45.40573,8.55355,5,264,72.04,297,4780,2026-09-15 22:25:33.688586
13703,SS11 Padana Superiore,positive,45.44016,8.67443,5,396,65.0,297,300,2026-09-15 22:25:33.688586
3851,SS11 Padana Superiore,negative,45.44016,8.67443,5,624,64.79,297,3280,2026-09-15 22:25:33.688586
12070,SS527 Bustese,positive,45.59171,8.66951,5,120,68.0,952,8700,2026-09-15 22:25:33.688586
12071,SS527 Bustese,negative,45.59171,8.66951,5,120,62.0,952,1160,2026-09-15 22:25:33.688586
9752,SS299 Di Alagna,positive,45.66253,8.36815,5,72,83.0,707,4400,2026-09-15 22:25:33.688586
9753,SS299 Di Alagna,negative,45.66253,8.36815,5,132,85.0,707,3970,2026-09-15 22:25:33.688586
7934,SS142 Biellese,positive,45.73711,8.50806,5,0,0.0,525,5550,2026-09-15 22:25:33.688586
7935,SS142 Biellese,negative,45.73711,8.50806,5,0,0.0,525,1720,2026-09-15 22:25:33.688586
36066,SP8(TO) di Druento,positive,45.12433,7.59182,5,264,66.0,36065,2980,2026-09-15 22:25:33.688586
36067,SP8(TO) di Druento,negative,45.12433,7.59182,5,372,61.0,36065,420,2026-09-15 22:25:33.688586
35478,SP1(TO) delle Valli di Lanzo,positive,45.1878,7.56886,5,216,75.0,35474,2600,2026-09-15 22:25:33.688586
35479,SP1(TO) delle Valli di Lanzo,negative,45.1878,7.56886,5,168,72.0,35474,970,2026-09-15 22:25:33.688586
